surveymonkeyName,variableName,scaleInversion,labelenglish
q0001,gender,0,Gender
q0002,age,0,Age
q0003,work,0,Current work situation
q0004,workduration,0,Duration of current work situation (years)
q0005_0001,facebookUF,0,usage frequency - facebook
q0005_0002,twitterUF,0,usage frequency - twitter
q0005_0003,xingUF,0,usage frequency - xing
q0005_0004,linkedinUF,0,usage frequency - LinkedIn
q0005_0005,workSMUF,0,usage frequency - work social media
q0006_0001,KUT1,0,KUT
q0006_0002,KUT2,1,KUT
q0006_0003,KUT3,0,KUT
q0006_0004,KUT4,0,KUT
q0006_0005,KUT5,1,KUT
q0006_0006,KUT6,0,KUT
q0006_0007,KUT7,1,KUT
q0006_0008,KUT8,1,KUT
q0007_0001,BFIVE1,1,E-
q0007_0002,BFIVE2,0,A+
q0007_0003,BFIVE3,1,C-
q0007_0004,BFIVE4,1,N-
q0007_0005,BFIVE5,1,O-
q0007_0006,BFIVE6,0,E+
q0007_0007,BFIVE7,1,A-
q0007_0008,BFIVE8,0,C+
q0007_0009,BFIVE9,0,N+
q0007_0010,BFIVE10,0,O+
q0008_0001,likepositve,0,
q0008_0002,likenegative,0,
q0008_0003,likeEOU,0,
q0008_0004,likehelpful,0,
q0008_0005,likeparticipate,0,
q0008_0006,likeunderstanding,0,
q0008_0007,likeanonymity,0,
q0009_0001,likeTAM_PEU1,0,
q0009_0002,likeTAM_PEU2,0,
q0009_0003,likeTAM_PEU3,0,
q0009_0004,likeTAM_PEU4,0,
q0009_0005,likeTAM_PEU5,0,
q0009_0006,likeTAM_PEU6,0,
q0009_0007,likeTAM_PU1,0,
q0009_0008,likeTAM_PU2,0,
q0009_0009,likeTAM_PU3,0,
q0009_0010,likeTAM_PU4,0,
q0009_0011,likeTAM_PU5,0,
q0009_0012,likeTAM_PU6,0,
q0009_0013,likeTAM_BI1,0,
q0009_0014,likeTAM_BI2,0,
q0009_0015,likeTAM_BI3,0,
q0010_0001,star5,0,
q0010_0002,star4,0,
q0010_0003,star3,0,
q0010_0004,star2,0,
q0010_0005,star1,0,
q0010_0006,starEOU,0,
q0010_0007,starhelpful,0,
q0010_0008,starparticipate,0,
q0010_0009,starunderstanding,0,
q0010_0010,staranonymity,0,
q0011_0001,starTAM_PEU1,0,
q0011_0002,starTAM_PEU2,0,
q0011_0003,starTAM_PEU3,0,
q0011_0004,starTAM_PEU4,0,
q0011_0005,starTAM_PEU5,0,
q0011_0006,starTAM_PEU6,0,
q0011_0007,starTAM_PU1,0,
q0011_0008,starTAM_PU2,0,
q0011_0009,starTAM_PU3,0,
q0011_0010,starTAM_PU4,0,
q0011_0011,starTAM_PU5,0,
q0011_0012,starTAM_PU6,0,
q0011_0013,starTAM_BI1,0,
q0011_0014,starTAM_BI2,0,
q0011_0015,starTAM_BI3,0,
q0012_0001,taginnovativ,0,
q0012_0002,tagwissenswert,0,
q0012_0003,tagallgemein,0,
q0012_0004,taginformative,0,
q0012_0005,tagspecific,0,
q0012_0006,tagunrelevant,0,
q0012_0007,tagveraltet,0,
q0012_0008,tagstreitpunkt,0,
q0012_0009,tagEOU,0,
q0012_0010,taghelpful,0,
q0012_0011,tagparticipate,0,
q0012_0012,tagunderstanding,0,
q0012_0013,taganonymity,0,
q0013_0001,tagTAM_PEU1,0,
q0013_0002,tagTAM_PEU2,0,
q0013_0003,tagTAM_PEU3,0,
q0013_0004,tagTAM_PEU4,0,
q0013_0005,tagTAM_PEU5,0,
q0013_0006,tagTAM_PEU6,0,
q0013_0007,tagTAM_PU1,0,
q0013_0008,tagTAM_PU2,0,
q0013_0009,tagTAM_PU3,0,
q0013_0010,tagTAM_PU4,0,
q0013_0011,tagTAM_PU5,0,
q0013_0012,tagTAM_PU6,0,
q0013_0013,tagTAM_BI1,0,
q0013_0014,tagTAM_BI2,0,
q0013_0015,tagTAM_BI3,0,
q0014,remarks,0,
